data_sn,refresh
1,218.2360702
2,223.4312722
3,230.0269801
4,226.4831714
5,230.8911836
6,228.7679168
7,231.30844
8,223.21233019999997
9,224.6315557
10,231.80199040000002
11,237.7548898
12,241.8344656
13,241.4486148
14,240.5296083
15,250.4379878
16,213.0186444
17,212.3812965
18,203.393383
19,205.68079740000002
20,201.0658896
21,209.7946933
22,217.1132958
23,211.19975380000002
24,221.97355679999998
25,215.3837849
26,226.0819878
27,239.8574951
28,240.22863900000002
29,245.0673293
30,242.6370832
31,246.242894
32,237.6880502
33,250.1152341
34,240.3113001
35,246.9774858
36,240.8158758
37,238.67562630000003
38,243.1365818
39,238.1837966
40,242.6390045
41,237.13609590000002
42,250.57559930000002
43,247.5714645
44,233.1464841
45,231.2352941
46,223.47662519999997
47,223.24846000000002
48,217.83995130000002
49,235.6251713
50,238.0573449
51,236.7453732
52,235.7148875
53,236.4502998
54,239.658796
55,234.12647909999998
56,232.2179071
57,232.8211694
58,231.86928390000003
59,228.2431224
60,230.99494190000001
61,233.4815702
62,230.55079930000002
63,230.6704904
64,230.0643644
65,231.683638
66,239.2368279
67,233.9154582
68,235.9127483
69,234.3972872
70,234.2495529
71,235.2997918
72,218.62268219999996
73,224.1174674
74,222.40421009999997
75,223.34726439999997
76,222.89868819999998
77,217.5616517
78,206.8849309
79,202.4966355
80,210.22295469999997
81,219.9568965
82,212.11805180000002
83,211.0075985
84,203.2319087
85,203.0889805
86,200.6598663
87,230.9413449
88,231.70667459999999
89,235.43814
90,234.41597259999998
91,228.56984649999998
92,232.2288751
93,221.28782940000002
94,219.94554100000002
95,223.2821892
96,235.12207599999996
97,237.55294130000001
98,236.07239040000002
99,235.25490519999997
100,202.4958919
101,200.53437480000002
102,205.5132472
103,230.5837893
104,231.02274900000003
105,223.83025519999995
106,223.11197940000002
107,218.9141516
108,232.2842611
109,239.0800042
110,242.2884804
111,221.3648426
112,225.35036910000002
113,253.9366478
114,256.9761935
115,254.64800490000002
116,258.44624780000004
117,224.19546040000003
118,221.58891859999997
119,235.4130393
120,235.37607400000002
121,235.3616184
122,260.57978629999997
123,266.54138309999996
124,263.3452214
125,265.2020739
126,239.14109150000002
127,236.1363813
128,257.0660068
129,256.15690809999995
130,257.002463
131,255.7203003
132,260.2027531
133,260.4632345
134,259.09783250000004
135,246.34672519999998
136,252.92669139999998
137,248.8271991
138,255.54546749999997
139,247.4288858
140,252.31516409999998
141,258.31625479999997
142,257.0189276
143,253.87263280000002
144,261.783575
145,254.5731452
146,259.2759889
147,256.7523903
148,258.30841890000005
149,260.5252327
150,194.05200469999997
151,259.2461852
152,262.3743275
153,198.1035803
154,228.9677014
155,222.89299509999998
156,216.21862740000003
157,187.9805993
158,216.4700446
159,227.9609942
160,213.15370319999997
161,212.35805519999997
162,225.76170630000001
163,228.99275209999996
164,226.0253126
165,221.39309619999997
166,213.5459308
167,220.1226099
168,224.2899454
169,210.85284819999998
170,236.86996090000002
171,230.2217444
172,227.00864390000004
173,234.6887372
174,232.65011349999997
175,235.34694819999999
